o,observation61,observation62,observation63,observation64,observation65,observation66,observation67,observation68,observation69,observation70,observation71,observation72,observation73,observation74,observation75,observation76,observation77,observation78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,120,120,120,120
114,114,114,114,114,114,114,114,114,114,114,114,114,114,113,113,113,113,113
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,114,114,114
0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,195,131,3,227,163,35,35,195,131,3,195,131
88,88,88,88,88,88,91,94,94,94,94,94,94,92,89,88,88,88,88
88,88,88,88,88,88,91,94,94,94,94,94,92,89,86,83,82,82,82
88,88,88,88,88,88,91,93,94,94,94,94,94,94,92,90,87,85,82
88,88,88,88,88,88,85,83,80,78,75,73,70,67,64,62,59,57,54
88,88,88,88,88,88,85,82,80,78,75,73,71,68,65,63,61,58,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,80,80,80,80,80,80,77,76,73,70,67,66,66,64,61,60,57
80,80,80,80,80,80,80,79,76,74,71,67,66,66,66,66,67,68,70
80,80,80,80,80,80,80,80,78,77,74,72,69,67,66,66,66,66,67
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,2
6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4
6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
198,198,198,198,198,198,246,38,133,165,213,245,21,132,180,212,244,36,131
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
75,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,198,198,198,198,150,39,39,39,39,39,37,148,196,228,20,52,198
198,198,198,198,198,198,246,22,133,165,197,245,245,245,245,245,245,245,245
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,32,32,33,33,255,255,255,255,255,255,255,255,255,255,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,32,16,0,32,16,0,32,16,21,32,52,52,52,52,52,52,4
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100,102,106,109,108,130,130,130,130,130,130,123
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,134,112,134,156,134,112,134,156,134,112,134,156,134,112,134,156,134,112
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0
2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6,5,5,7,5,5,4,4,4,4,4,6
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,191,191,191,175,175,175,175,171,171,171,170,170
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,51,51,51,59,59,59,59,67,67,67,75,75
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,4
0,0,0,0,0,0,0,16,16,16,32,32,32,32,48,48,48,64,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,66,66,66,66,66,98,98,98,98,75,145,98,98,21,98,98,98,98
240,240,240,240,240,240,250,250,250,250,246,250,250,250,251,250,250,250,250
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
